competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,1,0,1,0,0,1,0,1,0,.73199999,.86000001,66.971725
3 Musketeers,1,0,0,0,1,0,0,1,0,.60399997,.51099998,67.602936
One dime,0,0,0,0,0,0,0,0,0,.011,.116,32.261086
One quarter,0,0,0,0,0,0,0,0,0,.011,.51099998,46.116505
Air Heads,0,1,0,0,0,0,0,0,0,.90600002,.51099998,52.341465
Almond Joy,1,0,0,1,0,0,0,1,0,.465,.76700002,50.347546
Baby Ruth,1,0,1,1,1,0,0,1,0,.60399997,.76700002,56.914547
Boston Baked Beans,0,0,0,1,0,0,0,0,1,.31299999,.51099998,23.417824
Candy Corn,0,0,0,0,0,0,0,0,1,.90600002,.32499999,38.010963
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,.60399997,.32499999,34.517681
Charleston Chew,1,0,0,0,1,0,0,1,0,.60399997,.51099998,38.975037
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,.73199999,.51099998,36.017628
Chiclets,0,1,0,0,0,0,0,0,1,.046,.32499999,24.524988
Dots,0,1,0,0,0,0,0,0,1,.73199999,.51099998,42.272076
Dum Dums,0,1,0,0,0,0,1,0,0,.73199999,.034000002,39.460556
Fruit Chews,0,1,0,0,0,0,0,0,1,.127,.034000002,43.088924
Fun Dip,0,1,0,0,0,0,1,0,0,.73199999,.32499999,39.185505
Gobstopper,0,1,0,0,0,0,1,0,1,.90600002,.45300001,46.783348
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,.465,.465,57.11974
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,.465,.465,34.158958
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,.465,.465,51.41243
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,.465,.465,42.178772
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,.127,.093000002,55.375454
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,.43000001,.91799998,62.284481
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,.43000001,.91799998,56.490501
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,.43000001,.91799998,59.236122
Jawbusters,0,1,0,0,0,0,1,0,1,.093000002,.51099998,28.127439
Junior Mints,1,0,0,0,0,0,0,0,1,.197,.51099998,57.21925
Kit Kat,1,0,0,0,0,1,0,1,0,.31299999,.51099998,76.7686
Laffy Taffy,0,1,0,0,0,0,0,0,0,.22,.116,41.389557
Lemonhead,0,1,0,0,0,0,1,0,0,.046,.104,39.141056
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,.26699999,.27900001,52.911392
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,.82499999,.65100002,71.46505
M&MÕs,1,0,0,0,0,0,0,0,1,.82499999,.65100002,66.574585
Mike & Ike,0,1,0,0,0,0,0,0,1,.87199998,.32499999,46.411716
Milk Duds,1,0,1,0,0,0,0,0,1,.30199999,.51099998,55.064072
Milky Way,1,0,1,0,1,0,0,1,0,.60399997,.65100002,73.099556
Milky Way Midnight,1,0,1,0,1,0,0,1,0,.73199999,.44100001,60.800701
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,.96499997,.86000001,64.35334
Mounds,1,0,0,0,0,0,0,1,0,.31299999,.86000001,47.829754
Mr Good Bar,1,0,0,1,0,0,0,1,0,.31299999,.91799998,54.526451
Nerds,0,1,0,0,0,0,1,0,1,.84799999,.32499999,55.354046
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,.60399997,.76700002,70.735641
